Home_TeamID,Away_TeamID,Home_Teamname,Away_Teamname,Home_score,Away_score,Home_scorer,Away_scorer
1,2,Mexico,South Africa,2,0,"{“J. Quiñones 9'”,”R. Jiménez 67'”}",null
3,4,South Korea,Czech Republic,2,1,"{""I.B. Hwang 67'"",""H.G. Oh 80'""}","{""L. Krejčí 59'""}"
5,6,Canada,Bosnia and Herzegovina,1,1,"{""C. Larin 11'""}","{""Jovo Lukić 21'""}"
13,14,United States,Paraguay,4,1,"{""D. Bobadilla 7'(OG)"",""F. Balogun 31'"",""F. Balogun 45'+5'"",""G. Reyna 90'+8'""}","{""Maurício 73'""}"
11,12,Haiti,Scotland,0,1,null,"{""J. McGinn 28'""}"
15,16,Australia,Turkey,2,0,"{""Nestory Irankunda 27'"",""C. Metcalfe 75'""}",null
9,10,Brazil,Morocco,1,1,"{""V. Júnior 32'""}","{""I. Saibari 21'""}"
7,8,Qatar,Switzerland,1,1,"{""B. Khoukhi 90'+5'""}","{""Breel Embolo 17' (p)""}"
19,20,Ivory Coast,Ecuador,1,0,"{""A. Diallo 90'""}",null
17,18,Germany,Curaçao,7,1,"{""Felix Nmecha 7'"",""N. Schlotterbeck 38'"",""K. Havertz 45'+5'(p)"",""J. Musiala 47'"",""N. Brown 68'"",""D. Undav 78'"",""K. Havertz 88'""}","{""L. Comenencia 21'""}"
21,22,Netherlands,Japan,2,2,"{""Virgil van Dijk 51'"",""C. Summerville 64'""}","{""K. Nakamura 57'"",""K. Ogawa 89'""}"
23,24,Sweden,Tunisia,5,1,"{""Y.Ayari 7'"",""A. Isak 30'"",""V. Gyökeres 59'"",""M. Svanberg 84'"",""Y.Ayari 90'+6'""}","{""O. Rekik 43'""}"
27,28,Iran,New Zealand,2,2,"{""Ramin Rezaiian 32'"",""Mohammad Mohebi 64'""}","{""Elijah Just 7'"",""Elijah Just 54'""}"
29,30,Spain,Cape Verde,0,0,null,null
25,26,Belgium,Egypt,1,1,"{""Mohamed Hany 66'""}","{""Emam Ashour 20'""}"
31,32,Saudi Arabia,Uruguay,1,1,"{""Abdulelah Al-Amri 41'""}","{""Maximiliano Araújo 80'""}"
33,34,France,Senegal,3,1,"{""K. Mbappé 66'"",""B. Barcola 82'"",""K. Mbappé 90+6'""}","{""I. Mbaye 90+5'""}"
35,36,Iraq,Norway,1,4,"{""Aymen Hussein 39'""}","{""Erling Haaland 29'"",""Erling Haaland 43'"",""Leo Østigård 76'"",""Aymen Hussein 90+7'""}"
37,38,Argentina,Algeria,3,0,"{""Lionel Messi 17'"",""Lionel Messi 60'"",""Lionel Messi 76'""}",null
39,40,Austria,Jordan,3,1,"{""Rvmanv Ashmid 21'"",""Izn Alarb 76'""}","{""Ali Avlvan 50'""}"
41,42,Portugal,Democratic Republic of the Congo,1,1,"{""J. Neves 6'""}","{""Y. Wissa 45+5'""}"
45,46,England,Croatia,4,2,"{""H. Kane 12'(p)"",""H. Kane 42'"",""J. Bellingham 47'"",""M. Rashford 85'""}","{""M. Baturina 36'"",""P. Musa 45+5'""}"
